# traditional	simplified
# Generated by scripts/gendict from OpenCC (Apache-2.0).
# Do not edit by hand; run: go run ./scripts/gendict
A型肝炎	甲型肝炎
南逕	南迳
卡達	卡塔爾
印表機	打印機
即時	實時
厄利垂亞	厄立特里亞
厄瓜多	厄瓜多爾
原始檔	源文件
原始碼	源代碼
原生代碼	本地代碼
參數列	參數表
反反覆覆	反反复复
反覆	反复
反覆思維	反复思维
反覆思量	反复思量
反覆性	反复性
取樣	採樣
取樣率	採樣率
叢集	集羣
叮叮噹	丁丁當
叮叮噹噹	丁丁當當
叮噹	丁當
台積公司	臺積公司
台積電	臺積電
史他汀類	他汀類
史克里亞賓	斯克里亞賓
史卡拉第	斯卡拉蒂
史托克豪森	施托克豪森
史特勞斯	施特勞斯
史特拉汶斯基	斯特拉文斯基
史瓦濟蘭	斯威士蘭
史麥塔納	斯美塔那
吉布地	吉布堤
吉里巴斯	基里巴斯
名字空間	命名空間
名稱空間	命名空間
名覆金甌	名复金瓯
吐瓦魯	圖瓦盧
向量	矢量
吳祕	吴祕
吳育昇	吴育昇
呼叫	調用
命令列	命令行
咖哩	咖喱
哈薩克	哈薩克斯坦
哥斯大黎加	哥斯達黎加
唐氏症	唐氏綜合徵
啟用	激活
喬治亞共和國	格魯吉亞共和國
喬治亞州	佐治亞州
單核心	宏內核
回撥	回調
回覆	回复
圖示	圖標
土坏	土坯
土庫曼	土庫曼斯坦
坏土	坯土
坏子	坯子
坏布	坯布
坏戶	坯户
坦尚尼亞	坦桑尼亞
型別	類型
埠	端口
執行	運行
執行檔	可執行文件
執行緒	線程
執行長	首席執行官
堆疊	堆棧
場效電晶體	場效應管
塑膠	塑料
塔吉克	塔吉克斯坦
塞席爾	塞舌爾
塞普勒斯	塞浦路斯
墨沈沈	墨沉沉
壺裏乾坤	壶里乾坤
夏農	香農
外掛	插件
外接	外置
外部索引鍵	外鍵
多囊性卵巢症候群	多囊卵巢綜合徵
多型	多態
多執行緒	多線程
多尼采第	多尼采蒂
多工	多任務
多明尼加	多米尼加
大目乾連冥間救母變文	大目乾连冥间救母变文
大腸激躁症	腸易激綜合徵
天冬胺酸	天冬氨酸
天冬醯胺	天冬酰胺
天門冬胺酸	天門冬氨酸
天門冬醯胺	天門冬酰胺
太空梭	航天飛機
失智症	癡呆症
奈及利亞	尼日利亞
奈米	納米
奧克拉荷馬	俄克拉何馬
奧克拉荷馬城	俄克拉何馬城
奧克拉荷馬州	俄克拉何馬州
奧克拉荷馬市	俄克拉何馬市
奧勒岡	俄勒岡
奧勒岡州	俄勒岡州
奧福	奧爾夫
好市多	開市客
好市多公司	開市客公司
妥瑞氏症	抽動穢語綜合徵
妥瑞症	抽動穢語綜合徵
威斯康辛	威斯康星
威斯康辛州	威斯康星州
嬌生公司	強生公司
子音	輔音
字串	字符串
字元	字符
字元集	字符集
字型	字體
字型檔	字庫
字尾	後綴
字首	前綴
存取	訪問
存檔	存盤
孟德爾頌	門德爾松
安地卡及巴布達	安提瓜和巴布達
安比西林	氨苄西林
安莫西林	阿莫西林
宏都拉斯	洪都拉斯
宕機	死機
定址	尋址
宣告	聲明
密西根	密歇根
密西根州	密歇根州
實體地址	物理地址
實體記憶體	物理內存
寬頻	寬帶
寮國	老撾
寶僑	寶潔
寶僑公司	寶潔公司
專案	項目
對乙醯胺基酚	對乙酰氨基酚
對映	映射
對話方塊	對話框
尚比亞	贊比亞
尤拉	歐拉
尼日	尼日爾
巢狀	嵌套
工作列	任務欄
工作管理員	任務管理器
巨集	宏
巨集函式	宏函數
巨集呼叫	宏調用
巨集命令	宏命令
巨集定義	宏定義
巨集展開	宏展開
巨集指令	宏指令
巨集替換	宏替換
巨集程式設計	宏編程
巨集處理	宏處理
巨集語言	宏語言
巴布亞紐幾內亞	巴布亞新幾內亞
巴貝多	巴巴多斯
巴金森氏症	帕金森病
市場行銷	市場營銷
布列敦	布雷頓
布列敦森林	布雷頓森林
布列敦森林制度	布雷頓森林體系
布吉納法索	布基納法索
布拉姆斯	勃拉姆斯
布林	布爾
布瑞頓	布里頓
布萊茲	布列茲
帕金森氏症	帕金森病
帛琉	帕勞
平行計算	並行計算
幺麼	幺麽
幺麼小丑	幺麽小丑
幺麼小醜	幺麽小丑
幾內亞比索	幾內亞比紹
序列	串行
序列埠	串口
序號產生器	註冊機
庫欣氏症候群	庫欣綜合徵
康乃狄克	康涅狄格
康乃狄克州	康涅狄格州
建構函式	構造函數
建構子	構造器
建立	創建
引數	參數
張昇	张昇
張法乾	张法乾
彩色超音波	彩超
影像	圖像
影印	複印
影片	視頻
彷彿	仿佛
後天免疫缺乏症候群	獲得性免疫缺陷綜合徵
後設資料	元數據
復甦	复苏
微控制器	單片機
徵絃	徵弦
徵聲	徵声
徵調	徵调
德布西	德彪西
德弗札克	德沃夏克
德拉瓦	特拉華
德拉瓦州	特拉華州
心肌梗塞	心肌梗死
快取	緩存
快取記憶體	高速緩存
快捷半導體	仙童半導體
快閃記憶體	閃存
急性呼吸窘迫症候群	急性呼吸窘迫綜合徵
情有獨鍾	情有独钟
意志消沈	意志消沉
愛滋病	艾滋病
愛滋病患	艾滋病人
愛滋病毒	艾滋病毒
愛荷華	艾奧瓦
愛荷華州	艾奧瓦州
感測	傳感
慢性疲勞症候群	慢性疲勞綜合徵
憂鬱症	抑鬱症
憑藉	凭借
憑藉着	凭借着
懷釐	怀釐
戒斷症候群	戒斷綜合徵
截圖	截屏
戴奧辛	二噁英
戴流士	戴留斯
所費不貲	所费不赀
手鍊	手链
打坏	打坯
扭轉乾坤	扭转乾坤
批次	批量
批覆	批复
找藉口	找借口
技術長	首席技術官
折戟沈沙	折戟沉沙
折戟沈河	折戟沉河
拉坏	拉坯
拉摩	拉莫
拉羅	拉洛
拉赫曼尼諾夫	拉赫瑪尼諾夫
拉鍊	拉链
拉鍊工程	拉链工程
拜覆	拜复
指令式程式設計	命令式編程
指令碼	腳本
指標	指針
捏坏	捏坯
捲軸	滾動條
掃描器	掃描儀
排程	調度
控制代碼	句柄
控制元件	控件
提佩特	蒂佩特
搜尋	搜索
摺積	捲積
撥出	呼出
擊沈	击沉
據瞭解	据了解
擴充套件	擴展
擴音	免提
擷取	截取
攜帶型	便攜式
攝護腺	前列腺
支援	支持
效能	性能
整合	集成
數位	數字
數位印刷	數字印刷
數位電子	數字電子
數位電路	數字電路
數據機	調製解調器
文件	文檔
文書處理	文字處理
文錦覆阱	文锦覆阱
斯洛維尼亞	斯洛文尼亞
新增	添加
新罕布夏	新罕布什爾
新罕布夏州	新罕布什爾州
於倫	於伦
於則	於则
於單	於单
於戲	於戏
於梨華	於梨华
於潛	於潜
旋乾轉坤	旋乾转坤
旋轉乾坤	旋转乾坤
旋轉乾坤之力	旋转乾坤之力
明瞭	明了
明覆	明复
昏沈	昏沉
映象	鏡像
映象管	顯像管
時脈頻率	時鐘頻率
普羅高菲夫	普羅科菲耶夫
普賽爾	珀塞爾
晶片	芯片
智慧	智能
智慧財產權	知識產權
暗沈沈	暗沉沉
暫存器	寄存器
書中自有千鍾粟	书中自有千锺粟
最佳化	優化
有失真壓縮	有損壓縮
李昇勳	李昇勋
李澤鉅	李泽钜
李鍊福	李链福
李鍾郁	李锺郁
東氾	东氾
林姆斯基-高沙可夫	里姆斯基-科薩科夫
查德	乍得
查詢	查找
柯普蘭	科普蘭
柯雷利	科雷利
校讎	校雠
核取按鈕	複選按鈕
核取方塊	複選框
核心	內核
格瑞那達	格林納達
桌上型	桌面型
桌上型電腦	臺式機
桌布	壁紙
梁章鉅	梁章钜
梅湘	梅西安
楊甦棣	杨甦棣
楊納傑克	雅納切克
楊聯陞	杨联陞
榴槤	榴蓮
標頭檔案	頭文件
模組	模塊
模里西斯	毛里求斯
機率	概率
檔名	文件名
檔案	文件
檢視	查看
欄位	字段
歐巴馬	奧巴馬
正子	正電子
正子斷層造影	正電子發射計算機斷層
正規化	範式
正規表示式	正則表達式
死氣沈沈	死气沉沉
母音	元音
毛坏	毛坯
氣泡排序	冒泡排序
水逕	水迳
永珍	萬象
永續性	持久性
氾勝之	氾胜之
氾國	氾国
汶萊	文萊
沈下	沉下
沈不住氣	沉不住气
沈住氣	沉住气
沈冤	沉冤
沈厚	沉厚
沈吟	沉吟
沈寂	沉寂
沈得住氣	沉得住气
沈思	沉思
沈思往事	沉思往事
沈悶	沉闷
沈沒	沉没
沈沒成本	沉没成本
沈浮	沉浮
沈浸	沉浸
沈浸於	沉浸于
沈淪	沉沦
沈湎	沉湎
沈湎酒色	沉湎酒色
沈溺	沉溺
沈滯	沉滞
沈滯性	沉滞性
沈澱	沉淀
沈澱出來	沉淀出来
沈澱劑	沉淀剂
沈澱法	沉淀法
沈澱物	沉淀物
沈濁	沉浊
沈甸甸	沉甸甸
沈痛	沉痛
沈痼	沉痼
沈痾	沉疴
沈睡	沉睡
沈睡不醒	沉睡不醒
沈砂池	沉砂池
沈積	沉积
沈積岩	沉积岩
沈積石	沉积石
沈筒	沉筒
沈船	沉船
沈落	沉落
沈詩任筆	沈诗任笔
沈迷	沉迷
沈迷不醒	沉迷不醒
沈醉	沉醉
沈重	沉重
沈降	沉降
沈陷	沉陷
沈靜	沉静
沈靜下來	沉静下来
沈香	沉香
沈鬱	沉郁
沈魚落雁	沉鱼落雁
沈默	沉默
沈默不語	沉默不语
沈默寡言	沉默寡言
沙烏地阿拉伯	沙特阿拉伯
沙烏地阿美	沙特阿美
沙烏地阿美公司	沙特阿美公司
沙逕	沙迳
河逕	河迳
泡麵	方便麪
波克夏海瑟威	伯克希爾哈撒韋
波克夏海瑟威公司	伯克希爾哈撒韋公司
波凱里尼	博凱里尼
波士尼亞赫塞哥維納	波斯尼亞黑塞哥維那
波札那	博茨瓦納
波長分波多工	波分複用
浪蕩乾坤	浪荡乾坤
浮沈	浮沉
海哩	海里
海飛茲	海菲茨
深沈	深沉
深沈不露	深沉不露
游標	光標
溢位	溢出
溫昇豪	温昇豪
滑藉	滑借
滑鼠	鼠標
演算法	算法
漢他病毒	漢坦病毒
潘德列茲基	潘德列茨基
烏昇	乌昇
烏沈沈	乌沉沉
烏茲別克	烏茲別克斯坦
烏逕	乌迳
無失真壓縮	無損壓縮
無序	无序
燒錄	刻錄
營運長	首席運營官
片語	詞組
物件	對象
物件導向	面向對象
狀態列	狀態欄
狐藉虎威	狐借虎威
獅子山	塞拉利昂
王彥昇	王彦昇
珍珠項鍊	珍珠项链
瓜地馬拉	危地馬拉
甘比亞	岡比亞
甘胺酸	甘氨酸
甚鉅	甚钜
甦生	苏生
甦醒	苏醒
甲硫胺酸	甲硫氨酸
申昇勳	申昇勋
申覆	申复
畢昇	毕昇
畫素	像素
異亮胺酸	異亮氨酸
異白胺酸	異亮氨酸
登入	登錄
登出	註銷
登錄檔	註冊表
發覆	发覆
白胺酸	亮氨酸
白血球	白細胞
白遼士	柏遼茲
盧安達	盧旺達
盧象昇	卢象昇
目的碼	目標代碼
直譯器	解釋器
相容	兼容
相簿	相冊
真實模式	實模式
睡眠呼吸中止症	睡眠呼吸暫停綜合徵
瞭如	了如
瞭如指掌	了如指掌
瞭然	了然
瞭然於心	了然于心
瞭若指掌	了若指掌
瞭解	了解
瞭解到	了解到
矽	硅
砈	砹
破圖	花屏
破釜沈舟	破釜沉舟
硬碟	硬盤
硬體	硬件
碟片	盤片
磁碟	磁盤
磁碟機代號	盤符
磁軌	磁道
磚坏	砖坯
示覆	示复
社群	社區
社逕	社迳
祕瓊	祕琼
福斯汽車	大衆汽車
福斯汽車集團	大衆汽車集團
福斯集團	大衆集團
程序	進程
程序導向	面向過程
程序式程式設計	過程式編程
程式	程序
程式碼	代碼
程式設計	編程
程式設計師	程序員
程式語言	編程語言
稟覆	禀复
稽核	審覈
穀氨醯胺	穀氨酰胺
穀胺酸	穀氨酸
穆索斯基	穆索爾斯基
積體電路	集成電路
空氣清淨機	空氣淨化器
空間多工	空分複用
突尼西亞	突尼斯
筆記型電腦	筆記本電腦
答覆	答复
篤麼	笃麽
簡單明瞭	简单明了
簡報	演示文稿
簡訊	短信
簽帳金融卡	借記卡
籌畫	筹划
精胺酸	精氨酸
紅血球	紅細胞
紐澤西	新澤西
紐澤西州	新澤西州
紐西蘭	新西蘭
素藉	素借
索羅門群島	所羅門羣島
索馬利亞	索馬里
終端使用者	最終用戶
組合語言	彙編語言
組胺酸	組氨酸
組譯	彙編
組譯器	彙編器
結束通話	掛斷
絲胺酸	絲氨酸
經前症候群	經前期綜合徵
維吉尼亞	弗吉尼亞
維吉尼亞州	弗吉尼亞州
維德角	佛得角
網咖	網吧
網絡卡	網卡
網路	網絡
網路上的芳鄰	網上鄰居
網際網路	互聯網
線上	在線
縮圖	縮略圖
縮排	縮進
繫結	綁定
纈胺酸	纈氨酸
羅德島	羅得島
羅德島州	羅得島州
美屬維京群島	美屬維爾京羣島
義大利	意大利
老年失智症	老年癡呆症
老態龍鍾	老态龙钟
耳沈	耳沉
聖克里斯多福及尼維斯	聖基茨和尼維斯
聖文森及格瑞那丁	聖文森特和格林納丁斯
聖露西亞	聖盧西亞
聖馬利諾	聖馬力諾
聯結器	連接器
聯絡	聯繫
肘手鍊足	肘手链足
肯亞	肯尼亞
胰臟	胰腺
胱胺酸	胱氨酸
胺基酸	氨基酸
脫坏	脱坯
脯胺酸	脯氨酸
腎病症候群	腎病綜合徵
腕隧道症候群	腕管綜合徵
腦梗塞	腦梗死
腳踏車	自行車
自動旋轉螢幕	自動轉屏
自閉症	孤獨症
興德密特	欣德米特
色胺酸	色氨酸
艾克森美孚	埃克森美孚
艾爾加	埃爾加
苯丙胺酸	苯丙氨酸
英哩	英里
茅利塔尼亞	毛里塔尼亞
茵藉	茵借
荀白克	勳伯格
莫三比克	莫桑比克
莫札特	莫扎特
華格納	瓦格納
華爾頓	沃爾頓
萊許	賴希
萊雅	歐萊雅
萊雅集團	歐萊雅集團
萬用字元	通配符
萬那杜	瓦努阿圖
萬鍾	万锺
落雁沈魚	落雁沉鱼
葉門	也門
葛令卡	格林卡
葛利格	格里格
葛拉斯	格拉斯
葛摩	科摩羅
蒐于紅	蒐于红
蒐於紅	蒐于红
蒐獮	蒐狝
蒐獵	蒐猎
蒲隆地	布隆迪
蓋亞那	圭亞那
蓋希文	格什溫
蔣昇	蒋昇
蕓薹	芸薹
蕩覆	荡覆
蕭乾	萧乾
蕭士塔高維契	肖斯塔科維奇
蕭邦	肖邦
薩拉沙泰	薩拉薩蒂
薩提	薩蒂
藉代	借代
藉以	借以
藉助	借助
藉助於	借助于
藉卉	借卉
藉口	借口
藉喻	借喻
藉寇兵	借寇兵
藉寇兵齎盜糧	借寇兵赍盗粮
藉手	借手
藉據	借据
藉故	借故
藉故推辭	借故推辞
藉方	借方
藉條	借条
藉槁	借槁
藉機	借机
藉此	借此
藉此機會	借此机会
藉甚	借甚
藉由	借由
藉着	借着
藉端	借端
藉端生事	借端生事
藉箸代籌	借箸代筹
藉草枕塊	借草枕块
藉詞	借词
藉讀	借读
藉資	借资
藍色畫面	藍屏
蘇利南	蘇里南
蘇胺酸	蘇氨酸
虛擬函式	虛函數
虛擬機器	虛擬機
虛擬碼	僞代碼
螢幕	屏幕
血紅素	血紅蛋白
行內函數	內聯函數
行動式	便攜式
行動數據	移動數據
行動硬碟	移動硬盤
行動網路	移動網絡
行動通訊	移動通信
行動電話	移動電話
行程	進程
衣索比亞	埃塞俄比亞
表示式	表達式
衹得	只得
衹見樹木	只见树木
衹見樹木不見森林	只见树木不见森林
袖裏乾坤	袖里乾坤
裝置	設備
製坏	制坯
複製	拷貝
西元	公元
西維吉尼亞	西弗吉尼亞
西維吉尼亞州	西弗吉尼亞州
西貝流士	西貝柳斯
覆信	复信
覆呈	复呈
覆命	复命
覆墓	复墓
覆帳	复帐
覆幬	覆帱
覆按	复按
覆文	复文
覆校	复校
覆盤	覆盘
覆蕉尋鹿	覆蕉寻鹿
覆醬瓿	覆酱瓿
覆電	复电
覆鹿尋蕉	覆鹿寻蕉
覆鹿遺蕉	覆鹿遗蕉
見覆	见复
視窗	窗口
視覺化	可視化
視訊	視頻
視訊會議	視頻會議
視訊記憶體	顯存
視訊通話	視頻通話
解析度	分辨率
解構函式	析構函數
解構子	析構函數
解除安裝	卸載
觸控	觸摸
觸控式螢幕	觸摸屏
計畫	计划
計程車	出租車
訊息	消息
訊號	信號
訊雜比	信噪比
記憶體	內存
設定	設置
許可權	權限
許甦魂	许甦魂
調變	調製
諾魯	瑙魯
識別符號	標識符
變徵	变徵
變徵之聲	变徵之声
變徵之音	变徵之音
變數	變量
讎定	雠定
象牙海岸	科特迪瓦
貂覆額	貂覆额
貝南	貝寧
貝里尼	貝利尼
貝里斯	伯利茲
買臣覆水	买臣覆水
貼上	粘貼
資料	數據
資料來源	數據源
資料倉儲	數據倉庫
資料包	數據報
資料夾	文件夾
資料庫	數據庫
資料探勘	數據挖掘
資訊	信息
資訊安全	信息安全
資訊理論	信息論
資訊科技	信息技術
資訊長	首席信息官
賓士	奔馳
賴比瑞亞	利比里亞
賴索托	萊索托
赤石逕	赤石迳
超程式設計	元編程
超音波	超聲波
跳脫字元	轉義字符
踅門瞭戶	踅门了户
躪藉	躏借
軟碟機	軟驅
軟體	軟件
載入	加載
載入程式	引導程序
載沈載浮	载沉载浮
載浮載沈	载浮载沉
輝達	英偉達
辛巴威	津巴布韋
迦納	加納
迴圈	循環
逕口	迳口
逕聯	迳联
逕頭	迳头
通訊	通信
通話卡	通訊卡
通話記錄	聯繫歷史
速食麵	方便麪
連結	鏈接
連結串列	鏈表
連線	連接
進位制	進制
進階	高級
進階設定	高級設置
進階選項	高級選項
運算元	操作數
運算子	操作符
運算式	表達式
過動症	多動症
過載	重載
遞迴	遞歸
遠端	遠程
遮蔽	屏蔽
選單	菜單
邏輯閘	邏輯門
那杜	溫納圖萬
部落格	博客
都會網路	城域網
酒逢知己千鍾少	酒逢知己千锺少
酪胺酸	酪氨酸
醞藉	酝借
醯	酰
釋出	發佈
重新命名	重命名
重新整理	刷新
重灌	重裝
重覆	重复
金氧半導體	金屬氧化物半導體
金鍊	金链
金鑰	密鑰
鈞覆	钧复
鈽	鈈
鉅子	钜子
鉅萬	钜万
鉅防	钜防
鉲	鐦
鉳	錇
鉸鍊	铰链
銀鍊	银链
鋂	鎇
鋼坏	钢坯
錄影	錄像
錢鍾書	钱锺书
錼	鎿
鍅	鈁
鍊墜	链坠
鍊子	链子
鍊形	链形
鍊條	链条
鍊錘	链锤
鍊鎖	链锁
鍛鍾	锻锺
鍾繇	锺繇
鍾萬梅	锺万梅
鍾重發	锺重发
鍾鍛	锺锻
鍾馗	锺馗
鎖鍊	锁链
鎝	鍀
鎦	鑥
鐵鍊	铁链
鑀	鎄
鑽石項鍊	钻石项链
鑿坏	凿坯
開啟	打開
閘流體	晶閘管
閘道器	網關
閘電路	門電路
閻鶴昇	阎鹤昇
關聯式資料庫	關係數據庫
防寫	寫保護
防毒	殺毒
阻斷劑	阻滯劑
阿拉伯聯合大公國	阿拉伯聯合酋長國
阿斯匹靈	阿司匹林
阿斯特捷利康	阿斯利康
阿斯特捷利康公司	阿斯利康公司
阿茲海默氏症	阿爾茨海默氏症
阿茲海默症	阿爾茨海默症
陣列	數組
除錯	調試
陰沈	阴沉
陰沈沈	阴沉沉
陰陰沈沈	阴阴沉沉
陳志昇	陈志昇
陳昇	陈昇
陳甦	陈甦
陶坏	陶坯
隨身碟	U盤
雁杳魚沈	雁杳鱼沉
雖覆能復	虽覆能复
雜湊	哈希
離線	脫機
離胺酸	賴氨酸
雲端儲存	雲存儲
雲端計算	雲計算
雷射	激光
雷諾氏症候群	雷諾綜合徵
電晶體	晶體管
電腦保安	計算機安全
電腦斷層	計算機斷層
電腦科學	計算機科學
電覆	电复
霍洛維茲	霍洛維茨
非同步	異步
韋本	韋伯恩
韋瓦第	維瓦爾第
韌體	固件
韓德爾	亨德爾
韓昇延	韩昇延
韓甦	韩甦
音效卡	聲卡
音訊	音頻
頁尾	頁腳
頁首	頁眉
項鍊	项链
預設值	默認值
頗覆	颇覆
頸鍊	颈链
頻寬	帶寬
顛乾倒坤	颠乾倒坤
顛倒乾坤	颠倒乾坤
類别範本	類模板
類比	模擬
類比電子	模擬電子
類比電路	模擬電路
顧爾德	古爾德
顧藉	顾借
顯示卡	顯卡
飛航模式	飛行模式
馬凡氏症	馬方綜合徵
馬凡氏症候群	馬方綜合徵
馬利共和國	馬里共和國
馬爾地夫	馬爾代夫
馮甦	冯甦
駭客	黑客
高效能運算	高性能計算
高畫質	高清
高空彈跳	蹦極
高階	高級
魚沈雁杳	鱼沉雁杳
麩胺酸	穀氨酸
麩醯胺酸	穀氨酰胺
麪坏兒	面坯儿
麻薩諸塞	馬薩諸塞
麻薩諸塞州	馬薩諸塞州
麼些族	麽些族
黃甦	黄甦
黃鍾公	黄锺公
黃體素	孕酮
黑沈沈	黑沉沉
點選	點擊
點陣圖	位圖
龍鍾	龙钟
龔昇	龚昇
